Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
310	134	0	0.12109375	0.572755105	0.550047622	0.385753015	1	0.466434433	0	0	0	0	0	3
315	136	0	0.123046875	0.57334472	0.550411639	0.385753015	1	0.466434433	0	0	0	0	0	3
320	138	0	0.125	0.573940347	0.55077362	0.385753015	1	0.466434433	0	0	0	0	0	3
325	140	0	0.126953125	0.574542489	0.551133754	0.385753015	1	0.466434433	0	0	0	0	0	3
330	142	0	0.12890625	0.575151601	0.551492229	0.385753015	1	0.466434433	0	0	0	0	0	3
335	144	0	0.130859375	0.575768091	0.551849227	0.385753015	1	0.466434433	0	0	0	0	0	3
340	146	0	0.1328125	0.576392327	0.552204924	0.385753015	1	0.466434433	0	0	0	0	0	3
345	148	0	0.134765625	0.577024628	0.552559492	0.385753015	1	0.466434433	0	0	0	0	0	3
350	150	0	0.13671875	0.577665289	0.552913094	0.385753015	1	0.466434433	0	0	0	0	0	3
355	152	0	0.138671875	0.578314558	0.553265892	0.385753015	1	0.466434433	0	0	0	0	0	3
360	154	0	0.140625	0.578972646	0.55361804	0.385753015	1	0.466434433	0	0	0	0	0	3
365	156	0	0.142578125	0.579639736	0.553969684	0.385753015	1	0.466434433	0	0	0	0	0	3
370	158	0	0.14453125	0.580315986	0.554320968	0.385753015	1	0.466434433	0	0	0	0	0	3
375	160	0	0.146484375	0.581001533	0.554672028	0.385753015	1	0.466434433	0	0	0	0	0	3
380	162	0	0.1484375	0.581696486	0.555022995	0.385753015	1	0.466434433	0	0	0	0	0	3
385	164	0	0.150390625	0.582400932	0.555373995	0.385753015	1	0.466434433	0	0	0	0	0	3
390	166	0	0.15234375	0.583114946	0.555725146	0.385753015	1	0.466434433	0	0	0	0	0	3
395	168	0	0.154296875	0.583838576	0.556076564	0.385753015	1	0.466434433	0	0	0	0	0	3
400	170	0	0.15625	0.584571848	0.556428357	0.385753015	1	0.466434433	0	0	0	0	0	3
405	173	0	0.158203125	0.585314773	0.556780631	0.385753015	1	0.466434433	0	0	0	0	0	3
410	175	0	0.16015625	0.586067351	0.557133483	0.385753015	1	0.466434433	0	0	0	0	0	3
415	177	0	0.162109375	0.586829569	0.557487008	0.385753015	1	0.466434433	0	0	0	0	0	3
420	179	0	0.1640625	0.587601398	0.557841295	0.385753015	1	0.466434433	0	0	0	0	0	3
425	181	0	0.166015625	0.588382794	0.558196428	0.385753015	1	0.466434433	0	0	0	0	0	3
430	183	0	0.16796875	0.589173707	0.558552489	0.385753015	1	0.466434433	0	0	0	0	0	3
435	185	0	0.169921875	0.589974067	0.558909552	0.385753015	1	0.466434433	0	0	0	0	0	3
440	187	0	0.171875	0.590783798	0.55926769	0.385753015	1	0.466434433	0	0	0	0	0	3
445	189	0	0.173828125	0.591602821	0.559626969	0.385753015	1	0.466434433	0	0	0	0	0	3
450	191	0	0.17578125	0.59243105	0.559987454	0.385753015	1	0.466434433	0	0	0	0	0	3
455	192	0	0.177734375	0.59326839	0.560349203	0.385753015	1	0.466434433	0	0	0	0	0	3
460	195	0	0.1796875	0.594114738	0.560712273	0.385753015	1	0.466434433	0	0	0	0	0	3
465	196	0	0.181640625	0.594969981	0.561076717	0.385753015	1	0.466434433	0	0	0	0	0	3
470	198	0	0.18359375	0.595834006	0.561442583	0.385753015	1	0.466434433	0	0	0	0	0	3
475	200	0	0.185546875	0.596706692	0.561809917	0.385753015	1	0.466434433	0	0	0	0	0	3
480	202	0	0.1875	0.59758791	0.562178763	0.385753015	1	0.466434433	0	0	0	0	0	3
485	204	0	0.189453125	0.598477536	0.562549158	0.385753015	1	0.466434433	0	0	0	0	0	3
490	205	0	0.19140625	0.599375434	0.562921141	0.385753015	1	0.466434433	0	0	0	0	0	3
495	207	0	0.193359375	0.600281471	0.563294744	0.385753015	1	0.466434433	0	0	0	0	0	3
500	209	0	0.1953125	0.601195511	0.563669999	0.385753015	1	0.466434433	0	0	0	0	0	3
505	212	0	0.197265625	0.60211741	0.564046935	0.385753015	1	0.466434433	0	0	0	0	0	3
510	214	0	0.19921875	0.603047029	0.564425576	0.385753015	1	0.466434433	0	0	0	0	0	3
515	216	0	0.201171875	0.603984232	0.564805948	0.385753015	1	0.466434433	0	0	0	0	0	3
520	218	0	0.203125	0.604928891	0.565188071	0.385753015	1	0.466434433	0	0	0	0	0	3
525	219	0	0.205078125	0.605880881	0.565571966	0.385753015	1	0.466434433	0	0	0	0	0	3
530	221	0	0.20703125	0.606840091	0.565957649	0.385753015	1	0.466434433	0	0	0	0	0	3
535	223	0	0.208984375	0.607806434	0.566345138	0.385753015	1	0.466434433	0	0	0	0	0	3
540	225	0	0.2109375	0.608779864	0.566734447	0.385753015	1	0.466434433	0	0	0	0	0	3
545	227	0	0.212890625	0.609760406	0.567125593	0.385753015	1	0.466434433	0	0	0	0	0	3
550	228	0	0.21484375	0.610748171	0.567518589	0.385753015	1	0.466434433	0	0	0	0	0	3
