Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
210	91	0	0.08203125	-9.03595967e-13	-3.18398855e-13	-9.03595967e-13	-8.18866876e-37	3.18398855e-13	0	0	0	0	0	3
215	93	0	0.083984375	-9.3471625e-13	-3.32406068e-13	-9.3471625e-13	-8.18866876e-37	3.32406068e-13	0	0	0	0	0	3
220	95	0	0.0859375	-9.65387877e-13	-3.46472331e-13	-9.65387877e-13	-8.18866876e-37	3.46472331e-13	0	0	0	0	0	3
225	97	0	0.087890625	-9.95587338e-13	-3.60583526e-13	-9.95587338e-13	-8.18866876e-37	3.60583526e-13	0	0	0	0	0	3
230	99	0	0.08984375	-1.0252941e-12	-3.74726305e-13	-1.0252941e-12	-8.18866876e-37	3.74726305e-13	0	0	0	0	0	3
235	101	0	0.091796875	-1.05449038e-12	-3.88888056e-13	-1.05449038e-12	-8.18866876e-37	3.88888056e-13	0	0	0	0	0	3
240	104	0	0.09375	-1.08316085e-12	-4.03056889e-13	-1.08316085e-12	-8.18866876e-37	4.03056889e-13	0	0	0	0	0	3
245	106	0	0.095703125	-1.11129248e-12	-4.172216e-13	-1.11129248e-12	-8.18866876e-37	4.172216e-13	0	0	0	0	0	3
250	108	0	0.09765625	-1.13887428e-12	-4.31371653e-13	-1.13887428e-12	-8.18866876e-37	4.31371653e-13	0	0	0	0	0	3
255	110	0	0.099609375	-1.16589718e-12	-4.45497144e-13	-1.16589718e-12	-8.18866876e-37	4.45497144e-13	0	0	0	0	0	3
260	112	0	0.1015625	-1.19235379e-12	-4.59588779e-13	-1.19235379e-12	-8.18866876e-37	4.59588779e-13	0	0	0	0	0	3
265	114	0	0.103515625	-1.21823834e-12	-4.73637845e-13	-1.21823834e-12	-8.18866876e-37	4.73637845e-13	0	0	0	0	0	3
270	116	0	0.10546875	-1.24354647e-12	-4.87636183e-13	-1.24354647e-12	-8.18866876e-37	4.87636183e-13	0	0	0	0	0	3
275	118	0	0.107421875	-1.26827514e-12	-5.01576165e-13	-1.26827514e-12	-8.18866876e-37	5.01576165e-13	0	0	0	0	0	3
280	120	0	0.109375	-1.29242245e-12	-5.15450661e-13	-1.29242245e-12	-8.18866876e-37	5.15450661e-13	0	0	0	0	0	3
285	122	0	0.111328125	-1.31598756e-12	-5.29253021e-13	-1.31598756e-12	-8.18866876e-37	5.29253021e-13	0	0	0	0	0	3
290	125	0	0.11328125	-1.33897063e-12	-5.42977049e-13	-1.33897063e-12	-8.18866876e-37	5.42977049e-13	0	0	0	0	0	3
295	127	0	0.115234375	-1.36137268e-12	-5.56616976e-13	-1.36137268e-12	-8.18866876e-37	5.56616976e-13	0	0	0	0	0	3
300	129	0	0.1171875	-1.3831955e-12	-5.70167443e-13	-1.3831955e-12	-8.18866876e-37	5.70167443e-13	0	0	0	0	0	3
305	132	0	0.119140625	-1.40444162e-12	-5.83623478e-13	-1.40444162e-12	-8.18866876e-37	5.83623478e-13	0	0	0	0	0	3
310	134	0	0.12109375	-1.42511423e-12	-5.96980474e-13	-1.42511423e-12	-8.18866876e-37	5.96980474e-13	0	0	0	0	0	3
315	136	0	0.123046875	-1.44521708e-12	-6.10234171e-13	-1.44521708e-12	-8.18866876e-37	6.10234171e-13	0	0	0	0	0	3
320	138	0	0.125	-1.4647544e-12	-6.23380636e-13	-1.4647544e-12	-8.18866876e-37	6.23380636e-13	0	0	0	0	0	3
325	140	0	0.126953125	-1.48373085e-12	-6.36416246e-13	-1.48373085e-12	-8.18866876e-37	6.36416246e-13	0	0	0	0	0	3
330	142	0	0.12890625	-1.50215152e-12	-6.49337668e-13	-1.50215152e-12	-8.18866876e-37	6.49337668e-13	0	0	0	0	0	3
335	144	0	0.130859375	-1.52002185e-12	-6.62141847e-13	-1.52002185e-12	-8.18866876e-37	6.62141847e-13	0	0	0	0	0	3
340	146	0	0.1328125	-1.53734761e-12	-6.74825988e-13	-1.53734761e-12	-8.18866876e-37	6.74825988e-13	0	0	0	0	0	3
345	148	0	0.134765625	-1.55413485e-12	-6.87387544e-13	-1.55413485e-12	-8.18866876e-37	6.87387544e-13	0	0	0	0	0	3
350	150	0	0.13671875	-1.57038991e-12	-6.99824197e-13	-1.57038991e-12	-8.18866876e-37	6.99824197e-13	0	0	0	0	0	3
355	152	0	0.138671875	-1.58611931e-12	-7.12133851e-13	-1.58611931e-12	-8.18866876e-37	7.12133851e-13	0	0	0	0	0	3
360	154	0	0.140625	-1.60132974e-12	-7.24314617e-13	-1.60132974e-12	-8.18866876e-37	7.24314617e-13	0	0	0	0	0	3
365	156	0	0.142578125	-1.61602808e-12	-7.36364798e-13	-1.61602808e-12	-8.18866876e-37	7.36364798e-13	0	0	0	0	0	3
370	158	0	0.14453125	-1.63022139e-12	-7.48282886e-13	-1.63022139e-12	-8.18866876e-37	7.48282886e-13	0	0	0	0	0	3
375	160	0	0.146484375	-1.64391683e-12	-7.60067543e-13	-1.64391683e-12	-8.18866876e-37	7.60067543e-13	0	0	0	0	0	3
380	162	0	0.1484375	-1.6571217e-12	-7.71717598e-13	-1.6571217e-12	-8.18866876e-37	7.71717598e-13	0	0	0	0	0	3
385	164	0	0.150390625	-1.66984338e-12	-7.83232031e-13	-1.66984338e-12	-8.18866876e-37	7.83232031e-13	0	0	0	0	0	3
390	166	0	0.15234375	-1.68208933e-12	-7.94609971e-13	-1.68208933e-12	-8.18866876e-37	7.94609971e-13	0	0	0	0	0	3
395	168	0	0.154296875	-1.69386705e-12	-8.05850685e-13	-1.69386705e-12	-8.18866876e-37	8.05850685e-13	0	0	0	0	0	3
400	170	0	0.15625	-1.70518408e-12	-8.16953566e-13	-1.70518408e-12	-8.18866876e-37	8.16953566e-13	0	0	0	0	0	3
405	173	0	0.158203125	-1.71604802e-12	-8.27918132e-13	-1.71604802e-12	-8.18866876e-37	8.27918132e-13	0	0	0	0	0	3
410	175	0	0.16015625	-1.72646648e-12	-8.38744016e-13	-1.72646648e-12	-8.18866876e-37	8.38744016e-13	0	0	0	0	0	3
